term,sessionPeriod,sessionTimes,meetingTimes,billNo,billName,billOrg,billProposer,billCosignatory,billStatus,pdfUrl,docUrl,selectTerm,X,file_name,changed_ratio
9,2,9,NA,1.05103E+15,「祭祀公業條例第四條條文修正草案」，請審議案。,本院委員盧秀燕等17人,盧秀燕　　 ,廖國棟　　許毓仁　　李彥秀　　林為洲　　簡東明　　呂玉玲　　林麗蟬　　陳超明　　許淑華　　陳宜民　　楊鎮浯　　徐志榮　　張麗善　　徐榛蔚　　鄭天財　　洪慈庸　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/09/LCEWA01_090209_00057.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/09/LCEWA01_090209_00057.doc,902,NA,LCEWA01_090209_00057,0.5025125628
9,2,9,NA,1.05103E+15,「所得稅法第十七條條文修正草案」，請審議案。,本院委員許毓仁等20人,許毓仁　　陳學聖　　王惠美　　 ,羅明才　　李鴻鈞　　王育敏　　陳怡潔　　林德福　　林麗蟬　　蔣乃辛　　曾銘宗　　蔣萬安　　馬文君　　鄭天財　　孔文吉　　簡東明　　周陳秀霞　徐志榮　　黃昭順　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/09/LCEWA01_090209_00012.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/09/LCEWA01_090209_00012.doc,902,NA,LCEWA01_090209_00012,0.5254860746
9,2,8,NA,1.05102E+15,「電信法第二十條之一條文修正草案」案。,行政院,,,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/08/LCEWA01_090208_00045.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/08/LCEWA01_090208_00045.doc,902,NA,LCEWA01_090208_00045,0.5988023952
9,2,10,NA,1.05102E+15,「電信法第二十條之一條文修正草案」案。,行政院,,,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/08/LCEWA01_090208_00045.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/08/LCEWA01_090208_00045.doc,902,NA,LCEWA01_090208_00045,0.5988023952
9,2,7,NA,1.05101E+15,「中央行政機關組織基準法第三十二條條文修正草案」，請審議案。,本院委員蔣乃辛等16人,蔣乃辛　　陳學聖　　 ,陳超明　　陳宜民　　許淑華　　林為洲　　王育敏　　羅明才　　費鴻泰　　蔣萬安　　曾銘宗　　柯志恩　　李彥秀　　鄭天財　　林德福　　許毓仁　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/07/LCEWA01_090207_00021.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/07/LCEWA01_090207_00021.doc,902,NA,LCEWA01_090207_00021,0.9174311927
9,2,6,NA,1.05101E+15,「替代役實施條例第三十八條條文修正草案」，請審議案。,本院委員馬文君等17人,馬文君　　陳學聖　　 ,徐志榮　　呂玉玲　　賴士葆　　陳宜民　　林為洲　　許淑華　　楊鎮浯　　蔣萬安　　林麗蟬　　蔣乃辛　　鄭天財　　曾銘宗　　林德福　　陳怡潔　　周陳秀霞　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/06/LCEWA01_090206_00058.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/06/LCEWA01_090206_00058.doc,902,NA,LCEWA01_090206_00058,1.041666667
9,2,10,NA,1.0511E+15,「兒童及少年性剝削防制條例部分條文修正草案」案。,行政院,,,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/10/LCEWA01_090210_00064.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/10/LCEWA01_090210_00064.doc,902,NA,LCEWA01_090210_00064,1.182033097
9,2,6,NA,1.051E+15,「自來水法第十二條之二條文修正草案」，請審議案。,本院委員陳曼麗等17人,陳曼麗　　呂孫綾　　　　　　　　　　　　 ,鄭運鵬　　何欣純　　蘇治芬　　陳　瑩　　管碧玲　　劉櫂豪　　高志鵬　　葉宜津　　鍾佳濱　　吳焜裕　　吳思瑤　　鍾孔炤　　余宛如　　尤美女　　林俊憲　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/06/LCEWA01_090206_00045.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/06/LCEWA01_090206_00045.doc,902,NA,LCEWA01_090206_00045,1.203610832
9,2,3,NA,1.05091E+15,「教師法第十四條條文修正草案」，請審議案。,本院委員李麗芬等18人,李麗芬　　呂孫綾　　吳思瑤,陳素月　　鍾孔炤　　鍾佳濱　　陳曼麗　　鄭運鵬　　邱議瑩　　周春米　　葉宜津　　黃偉哲　　尤美女　　陳亭妃　　段宜康　　趙正宇　　蘇巧慧　　王榮璋　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/03/LCEWA01_090203_00013.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/03/LCEWA01_090203_00013.doc,902,NA,LCEWA01_090203_00013,1.20593692
9,2,5,NA,1.05093E+15,「替代役實施條例第二十條條文修正草案」，請審議案。,本院委員馬文君等16人,馬文君　　陳學聖,徐志榮　　呂玉玲　　賴士葆　　陳宜民　　林為洲　　許淑華　　林麗蟬　　楊鎮浯　　蔣乃辛　　鄭天財　　曾銘宗　　林德福　　李彥秀　　蔣萬安　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/02/05/LCEWA01_090205_00023.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/02/05/LCEWA01_090205_00023.doc,902,NA,LCEWA01_090205_00023,1.709401709
